trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
144,False,"{'a': 0.25, 'e': 0.6511599291810325}",20,0,-101.9715790449185,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
145,False,"{'a': 0.25, 'e': 0.6492093766851474}",20,0,-60.647632693232,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
146,False,"{'a': 0.25, 'e': 0.6472646670780347}",30,17,0.2829393995072509,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 0}",1
147,False,"{'a': 0.25, 'e': 0.6453257828572946}",20,0,-95.85836818340086,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
148,False,"{'a': 0.25, 'e': 0.6433927065729562}",20,0,-11.20596401035931,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
149,False,"{'a': 0.25, 'e': 0.6414654208273198}",20,0,-97.80155362659949,"{0: 14, 1: 3, 2: 0, 3: 1, 4: 2}",0
150,False,"{'a': 0.25, 'e': 0.6395439082748009}",30,19,-41.299955566908736,"{0: 6, 1: 2, 2: 2, 3: 1, 4: 0}",1
151,False,"{'a': 0.25, 'e': 0.6376281516217733}",20,7,-179.01360349320493,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 4}",1
152,False,"{'a': 0.25, 'e': 0.6357181336264143}",25,12,3.506365997720322,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
153,False,"{'a': 0.25, 'e': 0.633813837098549}",30,0,-140.96557004971933,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 2}",0
154,False,"{'a': 0.25, 'e': 0.6319152448994959}",25,0,-177.19639972368776,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
155,False,"{'a': 0.25, 'e': 0.6300223399419123}",30,0,-91.23510156591325,"{0: 18, 1: 4, 2: 7, 3: 1, 4: 0}",0
156,False,"{'a': 0.25, 'e': 0.6281351051896408}",25,0,-111.2989050653,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
157,False,"{'a': 0.25, 'e': 0.6262535236575559}",20,0,-82.09030288496179,"{0: 9, 1: 6, 2: 4, 3: 1, 4: 0}",0
158,False,"{'a': 0.25, 'e': 0.6243775784114112}",20,0,-59.68927821309859,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
159,False,"{'a': 0.25, 'e': 0.6225072525676868}",30,0,-244.77268988975587,"{0: 15, 1: 3, 2: 5, 3: 4, 4: 3}",0
160,False,"{'a': 0.25, 'e': 0.6206425292934373}",25,12,-57.36532933286726,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 1}",1
161,False,"{'a': 0.25, 'e': 0.6187833918061408}",25,0,-161.0241043942182,"{0: 14, 1: 4, 2: 4, 3: 0, 4: 3}",0
162,False,"{'a': 0.25, 'e': 0.6169298233735475}",30,0,-162.17573983121812,"{0: 20, 1: 3, 2: 3, 3: 1, 4: 3}",0
163,False,"{'a': 0.25, 'e': 0.6150818073135287}",30,14,-99.79409774600802,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 2}",1
164,False,"{'a': 0.25, 'e': 0.6132393269939276}",20,0,-110.86375653712561,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
165,False,"{'a': 0.25, 'e': 0.6114023658324087}",25,0,-128.80752855787878,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
166,False,"{'a': 0.25, 'e': 0.6095709072963093}",30,0,-66.13398164369401,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 1}",0
167,False,"{'a': 0.25, 'e': 0.6077449349024902}",25,0,-159.7282553491359,"{0: 10, 1: 5, 2: 8, 3: 1, 4: 1}",0
168,False,"{'a': 0.25, 'e': 0.6059244322171875}",30,0,-159.75450364213447,"{0: 19, 1: 4, 2: 4, 3: 0, 4: 3}",0
169,False,"{'a': 0.25, 'e': 0.6041093828558647}",20,0,-125.05116724355912,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
170,False,"{'a': 0.25, 'e': 0.6022997704830654}",20,14,-8.367942148356592,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
171,False,"{'a': 0.25, 'e': 0.600495578812266}",25,0,-157.34093640857546,"{0: 15, 1: 1, 2: 5, 3: 2, 4: 2}",0
172,False,"{'a': 0.25, 'e': 0.5986967916057292}",25,0,-197.30374250785275,"{0: 12, 1: 3, 2: 6, 3: 1, 4: 3}",0
173,False,"{'a': 0.25, 'e': 0.596903392674358}",35,0,-229.9392912022952,"{0: 22, 1: 5, 2: 3, 3: 0, 4: 5}",0
174,False,"{'a': 0.25, 'e': 0.5951153658775501}",25,4,-129.55616734758217,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 2}",1
175,False,"{'a': 0.25, 'e': 0.593332695123052}",25,0,-202.7266090177398,"{0: 14, 1: 4, 2: 2, 3: 1, 4: 4}",0
176,False,"{'a': 0.25, 'e': 0.5915553643668151}",30,16,-7.361987619311558,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
177,False,"{'a': 0.25, 'e': 0.5897833576128505}",30,19,-1.6967246826529494,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 0}",1
